sector,fiscal_year,month,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions 
big bend,2019,october,555,37,17
big bend,2019,november,448,36,31
big bend,2019,december,621,74,122
big bend,2019,january,588,59,91
big bend,2019,february,845,61,186
big bend,2019,march,942,80,197
big bend,2019,april,941,61,224
big bend,2019,may,1557,115,732
big bend,2019,june,628,56,154
big bend,2019,july,799,61,445
big bend,2019,august,922,81,464
big bend,2019,september,791,58,268
big bend,2019,yearly total,9637,779,2931
blaine,2019,october,53,1,13
blaine,2019,november,35,0,7
blaine,2019,december,48,0,2
blaine,2019,january,41,1,7
blaine,2019,february,41,0,11
blaine,2019,march,54,0,10
blaine,2019,april,35,0,2
blaine,2019,may,27,0,5
blaine,2019,june,53,2,8
blaine,2019,july,49,1,9
blaine,2019,august,38,1,11
blaine,2019,september,50,0,9
blaine,2019,yearly total,524,6,94
buffalo,2019,october,40,0,0
buffalo,2019,november,29,0,0
buffalo,2019,december,19,0,0
buffalo,2019,january,26,0,0
buffalo,2019,february,27,0,0
buffalo,2019,march,43,0,0
buffalo,2019,april,33,0,0
buffalo,2019,may,18,0,0
buffalo,2019,june,55,0,0
buffalo,2019,july,93,5,14
buffalo,2019,august,123,0,12
buffalo,2019,september,31,0,0
buffalo,2019,yearly total,537,5,26
coastal border,2019,october,296,12,9
coastal border,2019,november,244,5,4
coastal border,2019,december,245,3,0
coastal border,2019,january,304,10,0
coastal border,2019,february,232,1,0
coastal border,2019,march,339,3,2
coastal border,2019,april,338,5,0
coastal border,2019,may,332,6,2
coastal border,2019,june,318,4,2
coastal border,2019,july,279,9,12
coastal border,2019,august,390,5,4
coastal border,2019,september,268,4,4
coastal border,2019,yearly total,3585,67,39
del rio,2019,october,2002,145,548
del rio,2019,november,2088,146,831
del rio,2019,december,2024,155,919
del rio,2019,january,2524,192,1009
del rio,2019,february,4013,239,2262
del rio,2019,march,5563,434,2831
del rio,2019,april,5848,395,3440
del rio,2019,may,8563,568,5272
del rio,2019,june,8085,420,5311
del rio,2019,july,6686,350,4481
del rio,2019,august,5297,268,3285
del rio,2019,september,4576,309,2646
del rio,2019,yearly total,57269,3621,32835
detroit,2019,october,188,1,0
detroit,2019,november,107,0,0
detroit,2019,december,119,1,0
detroit,2019,january,107,0,0
detroit,2019,february,115,0,0
detroit,2019,march,118,0,0
detroit,2019,april,102,2,0
detroit,2019,may,114,2,0
detroit,2019,june,95,1,2
detroit,2019,july,79,3,6
detroit,2019,august,80,1,0
detroit,2019,september,98,0,2
detroit,2019,yearly total,1322,11,10
el centro,2019,october,3242,256,782
el centro,2019,november,3189,273,914
el centro,2019,december,2718,212,1012
el centro,2019,january,2461,236,808
el centro,2019,february,3319,336,1189
el centro,2019,march,3561,299,1139
el centro,2019,april,3386,255,742
el centro,2019,may,3482,242,576
el centro,2019,june,2885,174,303
el centro,2019,july,2214,107,156
el centro,2019,august,2327,148,137
el centro,2019,september,2354,150,115
el centro,2019,yearly total,35138,2688,7873
el paso,2019,october,7334,830,5180
el paso,2019,november,8867,1038,6435
el paso,2019,december,9450,970,7336
el paso,2019,january,9137,1012,6837
el paso,2019,february,14171,1522,10891
el paso,2019,march,22224,2184,16965
el paso,2019,april,27073,2459,20636
el paso,2019,may,38637,3255,29809
el paso,2019,june,18882,1313,13506
el paso,2019,july,11594,765,7260
el paso,2019,august,8078,457,4527
el paso,2019,september,6696,354,3527
el paso,2019,yearly total,182143,16159,132909
grand forks,2019,october,24,0,0
grand forks,2019,november,28,0,0
grand forks,2019,december,29,0,0
grand forks,2019,january,20,0,0
grand forks,2019,february,24,1,0
grand forks,2019,march,36,0,0
grand forks,2019,april,48,0,0
grand forks,2019,may,41,3,0
grand forks,2019,june,43,0,5
grand forks,2019,july,31,0,2
grand forks,2019,august,41,0,0
grand forks,2019,september,47,2,0
grand forks,2019,yearly total,412,6,7
havre,2019,october,7,0,0
havre,2019,november,7,0,0
havre,2019,december,5,0,0
havre,2019,january,8,0,0
havre,2019,february,0,0,0
havre,2019,march,5,0,0
havre,2019,april,7,0,0
havre,2019,may,3,0,0
havre,2019,june,8,0,0
havre,2019,july,14,0,1
havre,2019,august,5,0,0
havre,2019,september,8,0,0
havre,2019,yearly total,77,0,1
houlton,2019,october,2,0,0
houlton,2019,november,3,0,0
houlton,2019,december,2,0,0
houlton,2019,january,0,0,0
houlton,2019,february,0,0,0
houlton,2019,march,4,0,0
houlton,2019,april,1,0,0
houlton,2019,may,0,0,0
houlton,2019,june,4,0,0
houlton,2019,july,19,0,0
houlton,2019,august,8,0,0
houlton,2019,september,9,0,0
houlton,2019,yearly total,52,0,0
laredo,2019,october,3448,266,121
laredo,2019,november,2669,180,49
laredo,2019,december,2059,148,74
laredo,2019,january,2632,191,73
laredo,2019,february,3123,249,61
laredo,2019,march,4192,301,106
laredo,2019,april,3975,258,103
laredo,2019,may,4115,265,110
laredo,2019,june,3819,196,83
laredo,2019,july,2686,140,137
laredo,2019,august,2421,137,119
laredo,2019,september,3239,190,133
laredo,2019,yearly total,38378,2521,1169
miami,2019,october,201,4,9
miami,2019,november,136,3,2
miami,2019,december,149,1,0
miami,2019,january,172,3,0
miami,2019,february,111,1,0
miami,2019,march,184,1,0
miami,2019,april,191,0,0
miami,2019,may,163,3,2
miami,2019,june,140,2,0
miami,2019,july,165,2,2
miami,2019,august,179,1,2
miami,2019,september,100,2,0
miami,2019,yearly total,1891,23,17
nationwide total,2019,october,51801,4978,23228
nationwide total,2019,november,52419,5264,25205
nationwide total,2019,december,51320,4759,27527
nationwide total,2019,january,48582,5117,24212
nationwide total,2019,february,67422,6823,36556
nationwide total,2019,march,93593,8959,53236
nationwide total,2019,april,99947,8888,58732
nationwide total,2019,may,133541,11494,84526
nationwide total,2019,june,95576,7379,57395
nationwide total,2019,july,72652,5572,42595
nationwide total,2019,august,51479,3731,25090
nationwide total,2019,september,41169,3172,15859
nationwide total,2019,yearly total,859501,76136,474161
new orleans,2019,october,74,8,0
new orleans,2019,november,82,2,2
new orleans,2019,december,60,2,0
new orleans,2019,january,100,7,0
new orleans,2019,february,101,0,0
new orleans,2019,march,94,2,2
new orleans,2019,april,132,5,0
new orleans,2019,may,105,1,0
new orleans,2019,june,100,1,2
new orleans,2019,july,87,2,8
new orleans,2019,august,105,3,2
new orleans,2019,september,92,2,4
new orleans,2019,yearly total,1132,35,20
northern border,2019,october,500,2,103
northern border,2019,november,318,2,37
northern border,2019,december,324,3,20
northern border,2019,january,299,2,24
northern border,2019,february,307,5,26
northern border,2019,march,421,0,30
northern border,2019,april,336,3,19
northern border,2019,may,353,13,38
northern border,2019,june,356,3,35
northern border,2019,july,395,9,40
northern border,2019,august,405,4,37
northern border,2019,september,394,3,31
northern border,2019,yearly total,4408,49,440
ramey,2019,october,21,0,0
ramey,2019,november,26,0,0
ramey,2019,december,36,0,0
ramey,2019,january,32,0,0
ramey,2019,february,20,0,0
ramey,2019,march,61,0,0
ramey,2019,april,15,0,0
ramey,2019,may,64,2,0
ramey,2019,june,78,1,0
ramey,2019,july,27,5,2
ramey,2019,august,106,1,0
ramey,2019,september,76,0,0
ramey,2019,yearly total,562,9,2
rio grande valley,2019,october,20755,2306,11525
rio grande valley,2019,november,20713,2309,11487
rio grande valley,2019,december,18372,1881,10630
rio grande valley,2019,january,17713,2182,9942
rio grande valley,2019,february,25366,2910,14430
rio grande valley,2019,march,33763,3714,20942
rio grande valley,2019,april,36727,3755,22895
rio grande valley,2019,may,49821,4867,33933
rio grande valley,2019,june,43207,3912,30133
rio grande valley,2019,july,36854,3287,25837
rio grande valley,2019,august,22355,1971,13533
rio grande valley,2019,september,13489,1429,6344
rio grande valley,2019,yearly total,339135,34523,211631
san diego,2019,october,4227,227,1156
san diego,2019,november,4577,310,1495
san diego,2019,december,5816,355,2413
san diego,2019,january,4122,283,1118
san diego,2019,february,5448,383,2036
san diego,2019,march,6881,428,2504
san diego,2019,april,6197,367,2106
san diego,2019,may,5882,307,1366
san diego,2019,june,4684,200,803
san diego,2019,july,3458,154,519
san diego,2019,august,3321,162,351
san diego,2019,september,3436,159,307
san diego,2019,yearly total,58049,3335,16174
southwest border,2019,october,51005,4964,23116
southwest border,2019,november,51857,5257,25164
southwest border,2019,december,50751,4753,27507
southwest border,2019,january,47979,5105,24188
southwest border,2019,february,66883,6817,36530
southwest border,2019,march,92833,8956,53204
southwest border,2019,april,99273,8880,58713
southwest border,2019,may,132856,11475,84486
southwest border,2019,june,94902,7372,57358
southwest border,2019,july,71978,5554,42543
southwest border,2019,august,50684,3722,25049
southwest border,2019,september,40507,3165,15824
southwest border,2019,yearly total,851508,76020,473682
spokane,2019,october,38,0,0
spokane,2019,november,41,0,0
spokane,2019,december,23,0,0
spokane,2019,january,57,1,0
spokane,2019,february,42,1,0
spokane,2019,march,52,0,0
spokane,2019,april,37,0,2
spokane,2019,may,46,0,4
spokane,2019,june,11,0,0
spokane,2019,july,19,0,0
spokane,2019,august,30,0,0
spokane,2019,september,32,1,0
spokane,2019,yearly total,428,3,6
swanton,2019,october,148,0,90
swanton,2019,november,68,2,30
swanton,2019,december,79,2,18
swanton,2019,january,40,0,17
swanton,2019,february,58,3,15
swanton,2019,march,109,0,20
swanton,2019,april,73,1,15
swanton,2019,may,104,8,29
swanton,2019,june,87,0,20
swanton,2019,july,91,0,8
swanton,2019,august,80,2,14
swanton,2019,september,119,0,20
swanton,2019,yearly total,1056,18,296
tucson,2019,october,5828,468,1163
tucson,2019,november,5062,465,754
tucson,2019,december,4912,408,1310
tucson,2019,january,4096,357,670
tucson,2019,february,4911,438,1024
tucson,2019,march,7257,599,1824
tucson,2019,april,5921,396,1533
tucson,2019,may,6875,509,1773
tucson,2019,june,5517,409,1563
tucson,2019,july,4129,318,1256
tucson,2019,august,4080,317,1394
tucson,2019,september,4902,421,1935
tucson,2019,yearly total,63490,5105,16199
yuma,2019,october,3614,429,2624
yuma,2019,november,4244,500,3168
yuma,2019,december,4779,550,3691
yuma,2019,january,4706,593,3640
yuma,2019,february,5687,679,4451
yuma,2019,march,8450,917,6696
yuma,2019,april,9205,934,7034
yuma,2019,may,13924,1347,10915
yuma,2019,june,7195,692,5502
yuma,2019,july,3558,372,2452
yuma,2019,august,1883,181,1239
yuma,2019,september,1024,95,549
yuma,2019,yearly total,68269,7289,51961
big bend,2018,october,819,126,109
big bend,2018,november,828,148,120
big bend,2018,december,802,140,113
big bend,2018,january,543,66,21
big bend,2018,february,838,76,18
big bend,2018,march,703,56,34
big bend,2018,april,808,64,77
big bend,2018,may,743,152,51
big bend,2018,june,375,22,23
big bend,2018,july,456,27,22
big bend,2018,august,585,70,65
big bend,2018,september,545,42,88
big bend,2018,yearly total,8045,989,741
blaine,2018,october,19,0,5
blaine,2018,november,22,1,2
blaine,2018,december,22,0,6
blaine,2018,january,15,0,4
blaine,2018,february,10,2,0
blaine,2018,march,54,1,16
blaine,2018,april,40,1,10
blaine,2018,may,35,0,5
blaine,2018,june,27,1,2
blaine,2018,july,22,0,5
blaine,2018,august,43,0,11
blaine,2018,september,50,0,2
blaine,2018,yearly total,359,6,68
buffalo,2018,october,48,0,0
buffalo,2018,november,23,2,0
buffalo,2018,december,17,0,0
buffalo,2018,january,25,0,0
buffalo,2018,february,16,0,0
